titulo	autor	anger	disgust	enjoyment	fear	sadness	surprise	anger_mean	disgust_mean	enjoyment_mean	fear_mean	sadness_mean	surprise_mean
A Alma Encantadora das Ruas	João do Rio	167	59	442	122	332	70	0.025410833840535607	0.008977480219111381	0.06725502130249543	0.01856360316494218	0.0505173463177115	0.010651247717589775
A Capital Federal	Artur Azevedo	53	9	126	20	47	8	0.006999471737982039	0.0011885895404120444	0.01664025356576862	0.002641310089804543	0.006207078711040676	0.0010565240359218173
A Carne	Júlio Ribeiro	137	62	293	130	149	65	0.017764522821576763	0.008039419087136929	0.037992738589211615	0.016856846473029045	0.019320539419087138	0.008428423236514522
A Cidade e as Serras	Eça de Queirós	86	67	438	111	238	70	0.015000872143729287	0.011686725972440259	0.07639979068550497	0.01936159079016222	0.04151404151404151	0.01221001221001221
A Conquista	Coelho Neto	57	22	178	43	100	15	0.02037169406719085	0.007862759113652609	0.0636168691922802	0.015368120085775554	0.035739814152966405	0.005360972122944961
A Dama das Camélias	Alexandre Dumas Filho	46	17	280	12	65	4	0.016564638098667626	0.006121714079942384	0.10082823190493338	0.004321209938782859	0.02340655383507382	0.0014404033129276198
A Dança dos Ossos	Bernardo Guimarães	25	9	23	16	33	2	0.03117206982543641	0.011221945137157107	0.028678304239401497	0.0199501246882793	0.04114713216957606	0.0024937655860349127
A Divina Comédia	Dante Alighieri	378	94	999	179	450	53	0.012289086121135278	0.0030560161253616828	0.03247829903442895	0.005819434962124907	0.014629864429922949	0.0017230729217464808
A Escrava Isaura	Bernardo Guimarães	197	78	585	167	337	43	0.027056722977612965	0.010712814173877214	0.08034610630407911	0.022936409833814037	0.04628485098200796	0.005905782172778464
A Esfinge sem Segredo	Oscar Wilde	3	4	17	3	14	10	0.010380622837370242	0.01384083044982699	0.058823529411764705	0.010380622837370242	0.04844290657439446	0.03460207612456748
A Ilustre Casa de Ramires	Eça de Queirós	202	106	602	209	317	103	0.018783708387576717	0.009856797470708573	0.05597917054119397	0.019434628975265017	0.02947740375674168	0.009577831504556444
A Mensageira das Violetas	Florbela Espanca	14	3	81	9	70	4	0.010550113036925395	0.002260738507912585	0.06103993971363979	0.006782215523737754	0.05275056518462698	0.003014318010550113
A Metamorfose	Franz Kafka	28	17	114	44	57	13	0.014263881813550688	0.008660213958227204	0.058074375955170655	0.022414671421293938	0.029037187977585328	0.006622516556291391
A Orgia dos Duendes	Bernardo Guimarães	5	1	12	2	6	0	0.007936507936507936	0.0015873015873015873	0.01904761904761905	0.0031746031746031746	0.009523809523809525	0.0
A Poesia Interminável	Cruz e Sousa	54	19	326	41	160	66	0.004200046667185191	0.001477794197713308	0.02535583728708097	0.0031889243213813487	0.01244458271758575	0.005133390371004122
A Princesa de Babilônia	Voltaire	62	16	251	34	51	15	0.027192982456140352	0.007017543859649123	0.11008771929824561	0.014912280701754385	0.02236842105263158	0.006578947368421052
A Relíquia	Eça de Queirós	141	78	602	127	254	33	0.017306984165950657	0.00957407634712164	0.0738922302688106	0.015588560206210874	0.03117712041242175	0.004050570762243771
A Volta ao Mundo em Oitenta Dias	Júlio Verne	112	34	324	118	131	52	0.016231884057971015	0.004927536231884058	0.04695652173913043	0.017101449275362317	0.01898550724637681	0.007536231884057971
Antigonas	Sofócles	13	1	23	6	21	2	0.007061379684953829	0.0005431830526887561	0.012493210211841391	0.0032590983161325366	0.011406844106463879	0.0010863661053775121
Arte Poética	Aristóteles	83	16	193	19	46	14	0.029953085528690002	0.00577408877661494	0.06964994586791771	0.006856730422230242	0.016600505232767952	0.005052327679538073
As Primaveras	Casimiro de Abreu	59	4	236	15	172	7	0.009071340713407134	0.0006150061500615006	0.03628536285362854	0.0023062730627306273	0.026445264452644526	0.001076260762607626
As Viagens	Olavo Bilac	21	1	33	17	25	2	0.032407407407407406	0.0015432098765432098	0.05092592592592592	0.026234567901234566	0.038580246913580245	0.0030864197530864196
Brás, Bexiga e Barra Funda	Alcântara Machado	23	9	42	6	15	3	0.011929460580912862	0.00466804979253112	0.021784232365145227	0.0031120331950207467	0.007780082987551867	0.0015560165975103733
Canção do Exílio	Antônio Gonçalves Dias	0	0	2	0	0	0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0
Canções e Elegias	Luís Vaz de Camões	63	13	116	22	112	5	0.01733149931224209	0.003576341127922971	0.03191196698762036	0.006052269601100412	0.030811554332874826	0.001375515818431912
Carolina	Casimiro de Abreu	14	10	37	12	32	3	0.013958125623130608	0.009970089730807577	0.036889332003988036	0.011964107676969093	0.031904287138584245	0.0029910269192422734
Cartas D’Amor - O Efêmero Feminino	Eça de Queirós	8	5	96	11	26	3	0.01735357917570499	0.010845986984815618	0.20824295010845986	0.02386117136659436	0.05639913232104121	0.006507592190889371
Charneca em Flor	Florbela Espanca	10	5	82	4	36	2	0.00846740050804403	0.004233700254022015	0.06943268416596104	0.003386960203217612	0.03048264182895851	0.001693480101608806
Contos	Eça de Queirós	27	21	154	43	91	15	0.012206148282097649	0.00949367088607595	0.06962025316455696	0.019439421338155516	0.04113924050632911	0.006781193490054249
Contos Fluminenses	Machado de Assis	108	50	688	72	244	58	0.013382899628252789	0.006195786864931847	0.08525402726146221	0.008921933085501859	0.03023543990086741	0.007187112763320942
Contos de Lima Barreto	Lima Barreto	74	14	170	34	122	10	0.02122168052767422	0.00401491253226269	0.04875250932033266	0.009750501864066534	0.03498709492400344	0.0028677946659019216
Contos para Velhos	Olavo Bilac	15	5	55	9	24	5	0.012489592006661115	0.004163197335553705	0.04579517069109076	0.00749375520399667	0.019983347210657785	0.004163197335553705
Cândido	Voltaire	85	36	242	62	105	19	0.025726392251815982	0.010895883777239709	0.07324455205811138	0.018765133171912834	0.03177966101694915	0.0057506053268765135
Diário Íntimo	Lima Barreto	142	43	435	71	192	43	0.018681752400999868	0.005657150374950665	0.05722931193264044	0.009340876200499934	0.02525983423233785	0.005657150374950665
Dom Casmurro	Machado de Assis	117	44	465	102	182	27	0.024	0.009025641025641025	0.09538461538461539	0.020923076923076923	0.037333333333333336	0.005538461538461538
Don Quixote. Vol. 1	Miguel de Cervantes Saavedra	460	93	1420	273	508	105	0.028553693358162633	0.005772811918063315	0.08814400993171943	0.016945996275605214	0.03153320918684047	0.006517690875232775
Don Quixote. Vol. 2	Miguel de Cervantes Saavedra	499	120	1133	198	446	107	0.030943817437678284	0.0074413989830088055	0.07025920873124147	0.01227830832196453	0.02765719955351606	0.006635247426516185
Esaú e Jacó	Machado de Assis	142	41	555	80	214	36	0.022042843837317604	0.006364483079788885	0.08615336851909344	0.012418503570319777	0.0332194970506054	0.005588326606643899
Espumas Flutuantes	Castro Alves	52	10	179	33	161	28	0.0067506166428664156	0.0012981955082435415	0.02323769959755939	0.004284045177203687	0.020900947682721018	0.003634947423081916
Eterna Mágoa	Augusto dos Anjos	0	0	0	0	4	0	0.0	0.0	0.0	0.0	0.07407407407407407	0.0
Eu e Outras Poesias	Augusto dos Anjos	112	53	242	97	316	48	0.008318478906714201	0.003936423054070113	0.017973856209150325	0.0072043969102792635	0.023469994058229353	0.0035650623885918
Fausto	Johann Wolfgang von Goethe	115	40	365	80	170	20	0.007263769580596261	0.0025265285497726125	0.023054573016675087	0.005053057099545225	0.010737746336533602	0.0012632642748863063
Hamlet	William Shakespeare	43	14	151	37	65	16	0.006214770920653274	0.0020234137881196706	0.02182396300043359	0.0053475935828877	0.009394421159127041	0.002312472900708195
História da Literatura Brasileira	José Veríssimo Dias de Matos	192	56	1244	81	225	38	0.01802647638719369	0.00525772227959816	0.11679654492535912	0.007604919725847338	0.021124777016242605	0.0035677401182987512
Iliada	Homero	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
Iluminuras	Arthur Rimbaud	16	9	52	9	25	8	0.017699115044247787	0.00995575221238938	0.05752212389380531	0.00995575221238938	0.02765486725663717	0.008849557522123894
Iracema	José de Alencar	108	23	222	35	84	9	0.029883785279468732	0.0063641394576646375	0.061427780852241286	0.009684560044272275	0.02324294410625346	0.0024903154399557276
Lira dos Vinte Anos	Álvares de Azevedo	79	16	409	27	257	35	0.009762728620860108	0.001977261492832427	0.05054374691052892	0.0033366287691547207	0.03175976272862086	0.004325259515570935
Livro de Mágoas	Florbela Espanca	5	6	17	4	55	2	0.0071633237822349575	0.008595988538681949	0.024355300859598854	0.0057306590257879654	0.07879656160458452	0.0028653295128939827
Livro de Sóror Saudade	Florbela Espanca	6	1	37	3	25	6	0.0076726342710997444	0.0012787723785166241	0.04731457800511509	0.0038363171355498722	0.0319693094629156	0.0076726342710997444
Livro do Desassossego	Fernando Pessoa	236	102	882	150	601	67	0.01833864325122387	0.007926023778071334	0.06853679384567565	0.011655917320693139	0.046701375398243844	0.005206309736576269
Memorial de Aires	Machado de Assis	60	40	444	50	140	42	0.010097610232245036	0.006731740154830024	0.07472231571861326	0.00841467519353753	0.023561090541905083	0.007068327162571525
Memórias Póstumas de Brás Cubas	Machado de Assis	186	49	505	84	327	47	0.022014439578648362	0.00579950289975145	0.05977038702805066	0.009942004971002486	0.038702805065688246	0.005562788495679962
Memórias de um Sargento de Milícias	Manuel Antônio de Almeida	130	48	436	89	180	34	0.017337956788476928	0.0064017071218991735	0.05814883969058415	0.011869831955188051	0.0240064017071219	0.004534542544678581
Noite na Taverna	Álvares de Azevedo	67	32	110	52	133	8	0.02705977382875606	0.012924071082390954	0.0444264943457189	0.0210016155088853	0.0537156704361874	0.0032310177705977385
O Alienista	Machado de Assis	62	18	125	35	54	10	0.03202479338842975	0.009297520661157025	0.06456611570247933	0.018078512396694214	0.027892561983471075	0.005165289256198347
O Ateneu	Raul Pompéia	173	86	607	188	251	87	0.023796423658872076	0.011829436038514442	0.08349381017881706	0.025859697386519945	0.03452544704264099	0.011966987620357633
O Cortiço	Aluísio Azevedo	259	96	454	121	283	40	0.025684252280840935	0.009520031733439112	0.04502181673938913	0.011999206664022214	0.028064260214200713	0.003966679888932963
O Crime do Padre Amaro	Eça de Queirós	412	127	1115	266	616	67	0.026221995926680244	0.008082993890020367	0.07096486761710795	0.016929735234215888	0.03920570264765784	0.004264256619144603
O Elixir da Longa Vida	Honoré de Balzac	34	7	94	20	42	10	0.023035230352303523	0.0047425474254742545	0.06368563685636856	0.013550135501355014	0.028455284552845527	0.006775067750677507
O Eu Profundo e os Outros Eus	Fernando Pessoa	8	0	58	23	47	6	0.007220216606498195	0.0	0.052346570397111915	0.02075812274368231	0.042418772563176894	0.005415162454873646
O Guardador de Rebanhos	Fernando Pessoa	5	11	45	3	25	13	0.0038022813688212928	0.008365019011406844	0.034220532319391636	0.0022813688212927757	0.019011406844106463	0.00988593155893536
